id,host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,property_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
23506100,175549624,2/26/2018,within an hour,t,1,t,t,Entire rental unit,6,1.5 baths,2,4,$224.00 ,2,1125,11,22,49,288,60,14,2,4.98,5,4.97,5,4.98,4.93,1.84
23522275,121250710,3/17/2017,within an hour,t,1,t,t,Entire guest suite,2,1 bath,1,1,$86.00 ,1,1125,0,0,0,0,341,111,9,5,5,5,5,4.94,4.96,14.29
23545770,690735,6/11/2011,within an hour,t,5,t,f,Entire condominium (condo),2,1 bath,1,1,$102.00 ,3,1125,10,27,27,27,39,0,0,4.74,4.77,4.56,4.82,4.9,4.67,1.02
23627199,12243051,2/14/2014,within an hour,f,123,t,t,Entire rental unit,4,1 bath,1,2,$163.00 ,2,1125,24,54,84,314,54,7,0,4.54,4.87,4.76,4.74,4.93,4.67,1.28
23627855,28711795,3/3/2015,within an hour,t,3,t,t,Entire condominium (condo),2,1 bath,1,1,$159.00 ,1,1125,11,36,66,66,187,41,5,4.89,4.95,4.85,4.89,4.95,4.86,6.88
23634328,26598201,1/23/2015,within an hour,t,7,t,t,Entire rental unit,6,2 baths,2,3,$65.00 ,30,1125,0,0,0,221,39,0,0,4.87,4.9,4.97,4.97,4.82,4.82,1.05
23673709,8641832,9/5/2013,a few days or more,f,1,t,f,Entire rental unit,2,2 baths,2,3,$250.00 ,30,1125,29,59,89,179,0,0,0,,,,,,,
23687767,177423452,3/8/2018,within an hour,t,15,t,t,Entire cottage,6,1 bath,2,3,$450.00 ,2,1125,25,55,79,330,4,0,0,4.75,4.5,5,4.75,5,4.5,0.09
23699884,2593268,6/10/2012,within an hour,f,1,t,t,Entire cottage,4,2 baths,2,2,$202.00 ,3,28,19,34,44,44,45,20,3,4.56,4.84,4.89,4.68,4.58,4.58,1.21
23710578,7481335,7/14/2013,within an hour,t,1,t,t,Entire rental unit,2,1 bath,1,2,$80.00 ,2,30,14,24,25,95,137,30,4,4.93,4.93,4.93,4.96,4.59,4.9,3.43
23728188,145511123,8/11/2017,within a few hours,f,2,t,f,Entire guest suite,1,1 bath,1,2,$75.00 ,30,1125,4,34,64,339,33,0,0,4.64,4.64,4.64,4.79,4.7,4.55,1.04
23740961,176981539,3/6/2018,a few days or more,f,1,t,t,Entire residential home,4,1 bath,2,3,$192.00 ,30,1125,30,60,90,90,57,0,0,4.29,4.55,4.6,4.71,4.09,4.31,1.33
